id,name,latitude,longitude,address,opening_hours,phone,website,suburb,city,created_at,updated_at
1779,The Serpentine Lido Cafe,51.5046688,-0.1696555,null,null,null,https://www.royalparks.org.uk/parks/hyde-park/food-and-drink/lido-bar-and-cafe,null,null,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
5008,Starbucks,51.5084656,-0.0792217,"Tower Place, London",null,null,https://www.starbucks.com/store-locator/store/2859/east-building-tower-place-3-lo-3-tower-place-london-eng-ec-3-r-5-bt-gb,null,London,2025-06-27 03:59:24.765338,2025-06-27 03:59:24.765338
2464,Longboys,51.5355112,-0.1269339,null,null,null,null,null,null,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
1783,Starbucks,51.5786546,-0.1240474,"7 The Broadway, London",null,null,null,null,London,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
2465,Bonds,51.5363984,-0.1259935,null,null,null,null,null,null,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
137,Unnamed Venue,-41.2089611,174.8783383,null,null,null,null,null,null,2025-06-25 04:09:54.718591,2025-06-25 04:09:54.718591
7188,Gardener's Cottage Cafe,51.5726743,0.0667853,Ilford,null,null,http://www.valentinesmansion.com/gardens.php,null,Ilford,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7189,The Bungalow Cafe,51.5772746,0.0213279,"49 Spratt Hall Road, London",Mo 07:00-15:00; Tu-Sa 07:00-21:30; Su 10:00-18:00,+44 20 8989 5620,https://thebungalowcafe.co.uk/,null,London,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
2054,Nosh Cafe,51.5171313,-0.1073528,"1 Holborn Circus, London",null,null,null,null,London,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
2211,h.o.m.e,51.5223134,-0.0973597,"12 Goswell Road, London",null,null,null,null,London,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
2218,Birley,51.5165427,-0.0836288,"90-94 Old Broad Street, London",null,null,null,null,London,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
7178,Brad's Coffee Bar,51.58351,-0.0184983,null,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7179,Cafe Solo,51.6070806,0.0327092,null,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7180,Posh Nosh Cafe,51.5921383,0.0265512,null,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7181,Eat Wells,51.6154666,0.025516,null,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
5320,Notes,51.5145912,-0.0805473,"30 St. Mary Axe, London",null,null,null,null,London,2025-06-27 03:59:24.765338,2025-06-27 03:59:24.765338
7185,Unnamed Venue,51.6045085,-0.0240543,null,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7187,T4 Tea For U,51.5841268,-0.0242281,"High Street, Walthamstow, London",null,null,null,Walthamstow,London,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7190,Deeney's Cafe,51.5913574,-0.0201677,null,Mo off; Tu-Su 10:00-16:30,null,https://www.deeneys.com/william-morris-gallery,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7191,Lily's Indulgence,51.5925197,0.026881,George Lane,null,null,null,null,null,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7192,Little Woodford Cafe,51.5926549,0.0261897,"118 George Lane, London",null,+44 20 8989 2552,null,null,London,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
5322,munchies,51.502226,-0.0953577,"22 Marshalsea Road, London",Mo-Fr 06:00-15:00,null,null,null,London,2025-06-27 03:59:24.765338,2025-06-27 03:59:24.765338
2467,Chez Nous,51.516853,-0.1319612,"22 Hanway Street, London",null,+44 20 7637 0177,null,null,London,2025-06-26 06:42:15.924606,2025-06-26 06:42:15.924606
7193,Waribashi,51.5920984,0.027018,"4-5 Station Approach, London",null,+44 20 8989 3393,null,null,London,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
7194,Cafe on the Lane,51.5943737,0.024157,"180-182 George Lane, London",null,+44 20 8532 9206,null,null,London,2025-06-27 10:08:05.09229,2025-06-27 10:08:05.09229
1,Clock Tower Bakery and Coffee Shop,-41.2252626,174.878781,193 Jackson Street,null,null,null,null,null,2025-06-25 03:05:44.959997,2025-06-25 03:05:44.959997
